INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AA17111', 'Переговорная 26-24 (РСВ)', 'A1', 'Не найден', 'Суды', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AA17112', 'Архивариус', 'A1', 'Не найден', 'Клиентское письмо', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AA17113', 'Дежурные', 'A1', 'Отправлен в архив', 'Неколлекшн', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AA17114', 'Переговорная 26-23 (ОНЗ)', 'A1', 'Отправлен в архив', 'ФССП', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AA17115', 'Переговорная 26-22 (3 ряд)', 'A1', 'Доступен', 'Связной', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AA17116', 'Переговорная 26-22 (4 ряд)', 'A1', 'Изъят', 'Связной', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AA17231', 'Переговорная 26-24 (РСВ)', 'A1', 'Доступен', 'ФССП', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AA17232', 'Сверка (Контроль качества)', 'A1', 'Отправлен в архив', 'Розыск с возвратом', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AA17233', 'Выход (отправка)', 'A1', 'Не найден', 'УО_почта', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AA17234', 'Поточные', 'A1', 'Не найден', 'УО_почта', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AA17235', 'Переговорная 26-24 (неколлекшн)', 'A1', 'Отправлен в архив', 'Феникс клиентские', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AA17236', 'Переговорная 26-24 (право)', 'A1', 'Не найден', 'ОТП', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AA17237', 'Архивариус', 'A1', 'Не найден', 'ФССП', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AA17238', 'Сверка (Правая)', 'A1', 'Доступен', 'ТКС Агенты', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AA17239', 'Переговорная 26-23 (ОНЗ)', 'A1', 'Изъят', 'ФССП', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AA17561', 'Сканировщики', 'A1', 'Не найден', 'КАСКО', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AA17562', 'Переговорная 26-23 (ОНЗ)', 'A1', 'Доступен', 'Русфинанс банк', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AA17563', 'Стеллаж', 'A1', 'Изъят', 'Розыск счетов', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AA17564', 'Открытые', 'A1', 'Доступен', 'ФССП', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AA17565', 'Сканировщики', 'A1', 'Не найден', 'Феникс клиентские', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AA17566', 'Переговорная 26-23 (утиль)', 'A1', 'Отправлен в архив', 'ОТП', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AA17567', 'Сверка (Правая)', 'A1', 'Не найден', 'УО_почта', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AA17568', 'Приоритет для архивариуса', 'A1', 'Доступен', 'Неколлекшн', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AA17569', 'Приоритет для архивариуса', 'A1', 'Не найден', 'Розыск счетов', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AA17570', 'Стеллаж', 'A1', 'Доступен', 'УО_почта', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AA17571', 'Приоритет для архивариуса', 'A1', 'Доступен', 'УО_почта', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AB17111', 'Переговорная 26-22 (3 ряд)', 'A1', 'Изъят', 'Клиентское письмо', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AB17112', 'Открытые', 'A1', 'Отправлен в архив', 'Клиентское письмо', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AB17113', 'Переговорная 26-22 (3 ряд)', 'A1', 'Доступен', 'ОТП', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AB17114', 'Приоритет для архивариуса', 'A1', 'Отправлен в архив', 'Толстые суды', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AB17115', 'Сверка (Левая)', 'A1', 'Доступен', 'Розыск счетов', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AB17116', 'Сканировщики', 'A1', 'Доступен', 'КАСКО', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AB17231', 'Поточные', 'A1', 'Изъят', 'ОТП', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AB17232', 'Архивариус', 'A1', 'Доступен', 'Розыск счетов', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AB17233', 'Переговорная 26-22 (3 ряд)', 'A1', 'Не найден', 'Клиентское письмо', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AB17234', 'Неколлекшн архивариус', 'A1', 'Изъят', 'Связной', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AB17235', 'Архивариус', 'A1', 'Доступен', 'КАСКО', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AB17236', 'Переговорная 26-24 (неколлекшн)', 'A1', 'Доступен', 'Клиентское письмо', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AB17237', 'Сверка (Контроль качества)', 'A1', 'Отправлен в архив', 'Суды', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AB17238', 'Архивариус', 'A1', 'Отправлен в архив', 'АТБ', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AB17239', 'Переговорная 26-22 (1 ряд)', 'A1', 'Не найден', 'Толстые суды', 'Короб уехал нахуй')
