INSERT INTO Users (login, status, unit, isOnline) VALUES('t.anisimov', 'Moderator', 'Контроль качества', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('e.annenkov', 'Moderator', 'Дежурные', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('w.antonov', 'Operator', 'Изъятие', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('p.argunov', 'Operator', 'Контроль качества', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('f.bagration', 'Operator', 'Группа разбора корреспонденции', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('f.bakunin', 'Operator', 'Дежурные', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('p.balashov', 'Operator', 'Архивариусы', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('c.batyushkov', 'Operator', 'Дежурные', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('n.beketov', 'Operator', 'Архивариусы', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('l.belinskiy', 'Operator', 'Архивариусы', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('e.belov', 'Operator', 'Контроль качества', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('h.belyakov', 'Operator', 'Сканировщики', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('j.berestov', 'Operator', 'Изъятие', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('u.bessonov', 'Operator', 'Группа разбора корреспонденции', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('z.bestuzhev', 'Moderator', 'Сканировщики', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('b.blinov', 'Operator', 'Контроль качества', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('s.bobrinskiy', 'Moderator', 'Архивариусы', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('y.bobrov', 'Operator', 'Сканировщики', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('c.bogatov', 'Operator', 'Контроль качества', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('s.bogdanov', 'Moderator', 'Сканировщики', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('f.bulatov', 'Operator', 'Дежурные', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('p.bunin', 'Moderator', 'Дежурные', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('i.danilov', 'Admin', 'Контроль качества', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('f.davydov', 'Admin', 'Сканировщики', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('t.denisov', 'Operator', 'Архивариусы', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('m.gorskiy', 'Operator', 'Дежурные', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('f.gromov', 'Admin', 'Изъятие', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('f.grusheckiy', 'Operator', 'Дежурные', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('z.grushevskiy', 'Admin', 'Сканировщики', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('g.guschin', 'Operator', 'Архивариусы', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('l.gusev', 'Operator', 'Контроль качества', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('m.klementev', 'Operator', 'Сканировщики', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('u.knyazev', 'Operator', 'Архивариусы', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('o.kostrov', 'Operator', 'Сканировщики', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('n.kotov', 'Operator', 'Архивариусы', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('q.kovalenskiy', 'Operator', 'Изъятие', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('p.kovalev', 'Operator', 'Контроль качества', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('n.kovalevskiy', 'Operator', 'Группа разбора корреспонденции', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('g.kozlov', 'Operator', 'Сканировщики', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('v.kozlovskiy', 'Admin', 'Контроль качества', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('z.lanskoy', 'Admin', 'Группа разбора корреспонденции', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('h.lapin', 'Moderator', 'Архивариусы', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('x.larionov', 'Moderator', 'Группа разбора корреспонденции', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('b.lavrentev', 'Operator', 'Контроль качества', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('g.lavrov', 'Operator', 'Дежурные', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('f.magon', 'Operator', 'Дежурные', '0')
INSERT INTO Users (login, status, unit, isOnline) VALUES('felix', 'Operator', 'Дежурные', '0')
